stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4521,,Ctre Commercial,RONCQ CENTRE COMMERCIAL 59223 RONCQ,50.736073,3.132717,1,,1,,,0
1455,,Boulevard De Mulhouse,BOULEVARD DE MULHOUSE 59100 ROUBAIX,50.683884,3.191283,1,,1,,,0
4427,,Montgolfier,MONTGOLFIER 59100 ROUBAIX,50.68484,3.189139,1,,1,,,0
1517,,Square Des Pres,SQUARE DES PRES 59100 ROUBAIX,50.685576,3.191665,1,,1,,,0
1495,,Zola,ZOLA 59100 ROUBAIX,50.673186,3.197198,1,,1,,,0
1569,,Spriet,SPRIET 59100 ROUBAIX,50.67412,3.185456,1,,1,,,0
5628,,Place Du Travail,PLACE DU TRAVAIL 59100 ROUBAIX,50.677174,3.178237,1,,1,,,0
1393,,Boulevard De Metz,BOULEVARD DE METZ 59100 ROUBAIX,50.702669,3.181675,1,,1,,,0
1439,,Rue D'Orchies,RUE D'ORCHIES 59100 ROUBAIX,50.690232,3.200655,1,,1,,,0
4779,,Edouard Vaillant,EDOUARD VAILLANT 59100 ROUBAIX,50.674065,3.175094,1,,1,,,0
1544,,Le Hutin,LE HUTIN 59100 ROUBAIX,50.706565,3.181205,1,,1,,,0
6991,,Union,UNION 59100 ROUBAIX,50.70714,3.169222,1,,1,,,0
1484,,Rue D'Alger,RUE D'ALGER 59100 ROUBAIX,50.701462,3.191697,1,,1,,,0
1510,,Hopital Victor Provo,HOPITAL VICTOR PROVO 59100 ROUBAIX,50.681022,3.167615,1,,1,,,0
1561,,Louis Loucheur,LOUIS LOUCHEUR 59100 ROUBAIX,50.677849,3.176541,1,,1,,,0
1382,,Coubertin,COUBERTIN 59100 ROUBAIX,50.680678,3.211092,1,,1,,,0
2558,,Place,SAINGHIN EN M. PLACE 59262 SAINGHIN EN MELANTOIS,50.589481,3.167237,1,,1,,,0
1590,,Lardé,LARDÉ 59184 SAINGHIN EN WEPPES,50.55336,2.914491,1,,1,,,0
5905,,Lommelet,LOMMELET 59350 SAINT ANDRE,50.666033,3.049686,1,,1,,,0
5686,,Coisne,COISNE 59496 SALOME,50.530978,2.827051,1,,1,,,0
5690,,Republique,REPUBLIQUE. 59496 SALOME,50.532079,2.816435,1,,1,,,0
1675,,Burgault,BURGAULT 59113 SECLIN,50.547615,3.039737,1,,1,,,0
5663,,Sequedin Centre,SEQUEDIN CENTRE 59320 SEQUEDIN,50.622607,2.988151,1,,1,,,0
6346,,Rue Du Pont,RUE DU PONT 59320 SEQUEDIN,50.622265,2.981519,1,,1,,,0
6932,,Rue D'Ennetieres,RUE D ENNETIERES 59175 TEMPLEMARS,50.565844,3.064642,1,,1,,,0
1707,,Trieu De Quesnoy,TRIEU DE QUESNOY 59390 TOUFFLERS,50.668973,3.233485,1,,1,,,0
