from_stop_id,to_stop_id,transfer_type,min_transfer_time
500142,500000,0,
500143,500000,0,
500237,500000,0,
500445,500000,0,
500446,500000,0,
500464,500000,0,
500465,500000,0,
500466,500000,0,
500467,500000,0,
500119,500001,0,
500120,500001,0,
500135,500001,0,
500143,500001,0,
500195,500001,0,
500196,500001,0,
500279,500001,0,
500280,500001,0,
500119,500002,0,
500120,500002,0,
500135,500002,0,
500143,500002,0,
500195,500002,0,
500196,500002,0,
500279,500002,0,
500280,500002,0,
500445,500002,0,
500446,500002,0,
500174,500003,0,
500175,500003,0,
500176,500003,0,
500177,500003,0,
500254,500003,0,
500255,500003,0,
500299,500003,0,
500300,500003,0,
500308,500003,0,
500388,500003,0,
500396,500003,0,
500397,500003,0,
500480,500003,0,
500174,500004,0,
500175,500004,0,
500176,500004,0,
500177,500004,0,
500254,500004,0,
500255,500004,0,
500299,500004,0,
500300,500004,0,
500308,500004,0,
500388,500004,0,
500396,500004,0,
500397,500004,0,
500480,500004,0,
500268,500005,0,
500269,500005,0,
500297,500005,0,
500298,500005,0,
500333,500005,0,
500334,500005,0,
500340,500005,0,
500341,500005,0,
500377,500005,0,
500378,500005,0,
500268,500006,0,
500269,500006,0,
500297,500006,0,
500298,500006,0,
500333,500006,0,
500334,500006,0,
500340,500006,0,
500341,500006,0,
500377,500006,0,
500378,500006,0,
500160,500007,0,
500161,500007,0,
500286,500007,0,
500366,500007,0,
500373,500007,0,
500374,500007,0,
500495,500007,0,
500496,500007,0,
500187,500008,0,
500204,500008,0,
500346,500008,0,
500119,500009,0,
500120,500009,0,
500162,500009,0,
500163,500009,0,
500195,500009,0,
500196,500009,0,
500396,500009,0,
500397,500009,0,
500430,500009,0,
500440,500009,0,
500441,500009,0,
500160,500010,0,
500161,500010,0,
500286,500010,0,
500366,500010,0,
500373,500010,0,
500374,500010,0,
500495,500010,0,
500496,500010,0,
500367,500037,0,
500368,500037,0,
500367,500038,0,
500368,500038,0,
500319,500059,0,
500061,500060,0,
500099,500062,0,
500687,500062,0,
500068,500067,0,
500463,500067,0,
500462,500068,0,
500072,500071,0,
500074,500073,0,
500185,500073,0,
500503,500073,0,
500703,500073,0,
500704,500073,0,
500184,500074,0,
500502,500074,0,
500703,500074,0,
500704,500074,0,
500079,500078,0,
500158,500078,0,
500159,500078,0,
500202,500078,0,
500207,500078,0,
500234,500078,0,
500158,500079,0,
500159,500079,0,
500202,500079,0,
500207,500079,0,
500234,500079,0,
500366,500079,0,
500081,500080,0,
500274,500081,0,
500083,500082,0,
500085,500084,0,
500087,500086,0,
500440,500086,0,
500478,500086,0,
500429,500087,0,
500441,500087,0,
500479,500087,0,
500089,500088,0,
500179,500088,0,
500178,500089,0,
500094,500093,0,
500096,500095,0,
500686,500099,0,
500687,500099,0,
500101,500100,0,
500110,500108,0,
500111,500108,0,
500121,500108,0,
500122,500108,0,
500131,500108,0,
500132,500108,0,
500483,500108,0,
500484,500108,0,
500110,500109,0,
500111,500109,0,
500121,500109,0,
500122,500109,0,
500131,500109,0,
500132,500109,0,
500483,500109,0,
500484,500109,0,
500111,500110,0,
500121,500110,0,
500122,500110,0,
500131,500110,0,
500483,500110,0,
500484,500110,0,
500121,500111,0,
500122,500111,0,
500132,500111,0,
500483,500111,0,
500484,500111,0,
500213,500114,0,
500214,500114,0,
500217,500114,0,
500218,500114,0,
500213,500115,0,
500214,500115,0,
500217,500115,0,
500218,500115,0,
500120,500119,0,
500135,500119,0,
500163,500119,0,
500195,500119,0,
500196,500119,0,
500279,500119,0,
500280,500119,0,
500135,500120,0,
500162,500120,0,
500195,500120,0,
500196,500120,0,
500279,500120,0,
500396,500120,0,
500397,500120,0,
500122,500121,0,
500132,500121,0,
500187,500121,0,
500188,500121,0,
500189,500121,0,
500244,500121,0,
500483,500121,0,
500484,500121,0,
500188,500122,0,
500189,500122,0,
500245,500122,0,
500483,500122,0,
500484,500122,0,
500132,500131,0,
500189,500131,0,
500423,500131,0,
500484,500131,0,
500188,500132,0,
500422,500132,0,
500483,500132,0,
500143,500135,0,
500195,500135,0,
500196,500135,0,
500279,500135,0,
500280,500135,0,
500139,500138,0,
500451,500138,0,
500450,500139,0,
500266,500140,0,
500392,500140,0,
500265,500141,0,
500393,500141,0,
500237,500142,0,
500446,500142,0,
500237,500143,0,
500279,500143,0,
500280,500143,0,
500445,500143,0,
500446,500143,0,
500145,500144,0,
500156,500144,0,
500155,500145,0,
500148,500147,0,
500191,500153,0,
500199,500153,0,
500190,500154,0,
500198,500154,0,
500156,500155,0,
500160,500158,0,
500161,500158,0,
500286,500158,0,
500366,500158,0,
500373,500158,0,
500374,500158,0,
500160,500159,0,
500161,500159,0,
500286,500159,0,
500366,500159,0,
500373,500159,0,
500374,500159,0,
500286,500161,0,
500366,500161,0,
500163,500162,0,
500195,500162,0,
500196,500162,0,
500396,500162,0,
500397,500162,0,
500430,500162,0,
500441,500162,0,
500195,500163,0,
500196,500163,0,
500396,500163,0,
500397,500163,0,
500429,500163,0,
500440,500163,0,
500167,500166,0,
500243,500166,0,
500314,500166,0,
500242,500167,0,
500313,500167,0,
500705,500167,0,
500171,500170,0,
500381,500170,0,
500380,500171,0,
500276,500172,0,
500281,500172,0,
500282,500172,0,
500462,500172,0,
500476,500172,0,
500477,500172,0,
500275,500173,0,
500281,500173,0,
500282,500173,0,
500462,500173,0,
500463,500173,0,
500476,500173,0,
500477,500173,0,
500175,500174,0,
500176,500174,0,
500177,500174,0,
500254,500174,0,
500255,500174,0,
500299,500174,0,
500300,500174,0,
500308,500174,0,
500388,500174,0,
500396,500174,0,
500397,500174,0,
500480,500174,0,
500176,500175,0,
500177,500175,0,
500254,500175,0,
500255,500175,0,
500299,500175,0,
500300,500175,0,
500308,500175,0,
500388,500175,0,
500396,500175,0,
500397,500175,0,
500480,500175,0,
500177,500176,0,
500254,500176,0,
500300,500176,0,
500308,500176,0,
500388,500176,0,
500397,500176,0,
500480,500176,0,
500308,500177,0,
500388,500177,0,
500396,500177,0,
500480,500177,0,
500179,500178,0,
500185,500184,0,
500241,500184,0,
500240,500185,0,
500187,500186,0,
500205,500187,0,
500244,500187,0,
500245,500187,0,
500244,500188,0,
500245,500188,0,
500244,500189,0,
500245,500189,0,
500191,500190,0,
500314,500190,0,
500313,500191,0,
500337,500193,0,
500518,500193,0,
500196,500195,0,
500308,500195,0,
500397,500195,0,
500279,500196,0,
500308,500196,0,
500396,500196,0,
500705,500199,0,
500422,500207,0,
500210,500209,0,
500426,500209,0,
500425,500210,0,
500212,500211,0,
500214,500213,0,
500271,500213,0,
500295,500213,0,
500296,500213,0,
500401,500213,0,
500270,500214,0,
500296,500214,0,
500218,500217,0,
500434,500225,0,
500231,500230,0,
500458,500231,0,
500459,500231,0,
500445,500237,0,
500446,500237,0,
500241,500240,0,
500243,500242,0,
500419,500242,0,
500418,500243,0,
500705,500243,0,
500716,500243,0,
500245,500244,0,
